Total,Afrikaans,Black African,Coloured,English,Female,Indian or Asian,Male,Sepedi,Sesotho,Setswana,SiSwati,Sign language,Tshivenda,White,Xitsonga,isiNdebele,isiXhosa,isiZulu,locID
2762,47,2684,73,107,1408,3,1375,482,285,691,23,37,97,19,168,86,106,635,Alexandra Ext 66
2541,54,2484,54,57,1262,1,1279,771,177,363,42,12,110,0,140,56,120,613,Alexandra Ext 68
363,5,361,0,9,207,0,154,101,40,14,6,0,1,0,23,10,11,142,Alexandra Ext 7
18,0,16,0,0,6,0,10,7,0,0,0,0,0,0,2,0,1,6,Alexandra Ext 70
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alexandra Ext 73
787,7,782,3,1,411,0,375,221,107,73,12,15,7,0,36,23,66,217,Alexandra Ext 8
1241,8,1231,8,57,659,0,592,249,115,87,15,25,53,12,152,22,122,345,Alexandra Ext 9
5960,29,5946,8,104,2718,4,3252,1666,365,375,55,13,418,5,778,146,925,1013,Alexandra SP
6764,48,6734,28,157,3530,0,3240,1680,662,784,85,29,285,3,701,160,535,1613,East Bank
2144,7,2137,4,27,979,1,1163,650,72,150,7,2,119,0,506,32,246,303,Far East Bank
3307,18,3300,4,82,1706,1,1607,838,254,430,51,17,116,0,275,101,245,786,Far East Bank Ext
2924,25,2915,7,56,1481,0,1445,496,317,241,37,2,102,3,260,121,303,919,Far East Bank Ext 1
2841,33,2821,18,70,1504,0,1343,601,298,221,65,21,73,4,266,63,227,827,Far East Bank Ext 2
9976,56,9930,36,199,5285,8,4773,2504,921,1259,127,40,379,9,821,298,645,2727,Far East Bank Ext 3
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Far East Bank Ext 4
552,6,550,0,8,278,0,271,153,32,59,2,0,27,0,53,7,33,166,Far East Bank Ext 6
5900,28,5882,12,120,2885,4,3090,1354,330,347,58,23,207,5,995,253,774,1348,Far East Bank Ext 7
1394,4,1391,0,17,656,1,785,210,114,128,24,2,97,4,222,115,92,339,Far East Bank Ext 8
5112,6,5109,1,90,1914,0,3216,1055,140,100,49,5,187,6,2798,61,347,236,Sejwetla
740,172,695,27,826,803,16,850,59,29,29,2,5,20,833,20,116,46,159,Chartwell AH
42,7,39,0,29,35,1,40,1,2,15,0,0,3,31,2,6,2,6,North Champagne Estates AH
626,51,545,42,152,327,37,386,4,167,37,6,15,4,78,28,6,51,150,Althea AH
7339,1047,6435,551,1357,3777,351,4760,674,991,881,89,26,322,1157,348,323,693,1142,City of Johannesburg NU
684,8,681,0,19,307,1,375,122,23,74,2,2,63,0,51,37,125,128,Diepsloot Nature Reserve
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lanseria Airport
1571,200,1152,76,2859,2378,341,2061,96,69,94,2,16,35,2704,36,58,62,177,Dainfern Golf Estate
