Total,Afrikaans,Black African,Coloured,English,Female,Indian or Asian,Male,Sepedi,Sesotho,Setswana,SiSwati,Sign language,Tshivenda,White,Xitsonga,isiNdebele,isiXhosa,isiZulu,locID
4480,56,4360,83,581,2262,35,2250,266,323,312,65,16,107,30,204,229,539,1407,Marshalltown
325,152,142,139,156,216,42,232,22,23,23,1,0,0,125,1,3,0,12,Martindale
63,3,54,7,36,43,0,43,13,2,5,0,0,0,25,1,7,1,10,Maryvale
10583,495,3839,498,6611,5965,6244,6062,168,265,404,36,50,103,177,80,175,106,362,Mayfair
4241,451,1203,224,3051,2300,2812,2369,44,127,119,5,6,27,309,33,54,37,108,Mayfair West
601,213,400,104,631,660,95,569,22,77,67,9,4,19,619,22,6,21,120,Mayfield Park
439,85,398,3,692,630,36,473,31,25,48,3,5,3,641,18,43,22,90,Melrose
309,41,249,15,497,388,43,341,28,25,15,0,0,1,417,12,14,18,56,Melrose Estate
1402,755,1120,107,1675,1722,173,1633,69,85,149,9,18,17,1866,18,52,62,214,Melville
5875,489,4398,1200,1883,3356,275,2871,280,760,581,36,21,215,283,196,56,332,1256,Meredale
111,19,109,0,9,27,0,104,17,22,14,3,0,2,22,3,4,12,25,Modderfontein
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Moffat Park
1460,690,628,652,626,996,178,922,52,71,40,8,13,4,446,18,24,84,171,Moffat View
6012,837,3614,1313,4121,4286,1083,3735,217,555,392,44,22,134,1869,175,112,270,1007,Mondeor
186,13,174,7,214,165,3,192,10,2,13,1,5,1,165,5,18,8,61,Mountain View
2993,809,1776,325,4218,3509,890,3136,69,285,182,3,13,30,3464,77,37,154,428,Mulbarton
672,103,224,420,496,319,26,376,1,14,19,0,1,0,0,0,9,0,18,Nancefield
229,4,163,42,12,97,22,137,9,12,9,0,0,0,3,7,9,8,18,Nancefield Industrial
7,0,5,0,0,1,0,4,0,1,4,0,0,0,0,0,0,0,0,Nasrec
13524,629,12285,1203,1600,7385,34,6352,1005,1797,1708,121,67,780,183,641,154,1216,3918,Naturena
338,1,332,3,17,130,1,208,5,17,14,0,1,1,0,1,23,54,130,New Centre
2022,13,1974,10,422,861,36,1161,197,103,72,29,2,84,2,105,57,268,540,New Doornfontein
2464,33,2254,48,278,1238,160,1267,179,146,221,48,10,144,29,150,88,165,464,Newtown
24,0,22,0,2,4,0,18,0,0,0,0,0,0,0,0,0,2,18,North Doornfontein
1369,338,946,61,2109,1622,360,1453,72,43,76,7,8,14,1633,16,56,45,148,Norwood
2279,529,1408,324,3105,2609,545,2321,85,226,52,19,6,13,2562,53,29,151,260,Oakdene
830,90,641,33,1183,1073,154,891,36,42,53,7,10,7,1114,14,30,24,78,Oaklands
193,19,161,9,348,247,21,243,2,13,15,5,1,2,297,2,1,12,34,Observatory
491,15,342,17,148,214,130,292,35,32,14,4,1,8,9,18,21,47,94,Ophirton
4875,360,4286,261,3662,4031,326,3720,430,248,393,81,12,52,2801,79,297,275,1051,Orange Grove
992,78,861,26,1380,1249,103,1033,113,62,114,5,4,10,1249,18,44,48,195,Orchards
9225,478,6341,833,3422,5199,2049,4624,511,933,851,98,27,342,214,312,100,462,1854,Ormonde
3239,64,3066,126,292,1752,45,1547,325,480,441,56,12,219,5,228,50,209,847,Ormonde View
1770,285,1333,289,391,927,146,963,138,128,263,11,5,103,105,97,27,79,304,Paarlshoop
774,256,278,105,400,473,389,474,29,7,26,8,4,9,140,4,18,7,39,Pageview
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Park Central
5559,231,4744,170,1515,3814,643,3122,157,154,173,35,5,78,1292,73,342,128,714,Parktown
221,35,199,7,613,562,13,368,20,9,14,1,8,4,710,7,9,0,25,Percelia Estate
35,0,32,0,0,4,1,31,0,0,0,0,0,0,2,0,0,0,0,Prolecon
170,50,164,3,261,345,1,133,20,2,17,10,0,1,310,11,0,25,74,Queenshaven
73,2,71,0,175,132,0,110,9,7,5,1,0,0,171,2,2,5,22,Raedene Estate
113,6,110,1,62,72,0,91,0,11,1,2,1,0,51,0,4,18,45,Randview
306,18,225,27,266,213,52,221,25,11,30,0,0,2,99,7,5,12,41,Raumarais Park
4947,395,4350,443,1667,2880,152,2822,248,218,148,46,61,60,716,225,219,594,993,Regents Park
1717,74,1264,90,1073,1248,361,1134,153,94,122,23,65,33,632,41,57,85,306,Rembrandt Park
116,8,98,0,44,70,16,66,6,9,16,0,1,0,22,7,0,4,26,Rembrandt Ridge
288,34,162,54,84,259,70,207,1,8,8,0,0,2,169,0,7,0,44,Reuven
537,128,337,137,505,521,61,488,11,36,16,5,2,0,414,13,5,39,65,Rewlatch
640,108,571,35,298,560,32,431,26,31,63,7,5,6,341,11,21,50,83,Richmond
7078,958,3961,1027,4466,4755,2088,3968,227,525,549,34,12,132,1500,110,102,357,997,Ridgeway
390,152,244,69,382,405,75,357,12,16,13,5,1,8,367,19,11,20,42,Risana
440,298,306,32,539,570,100,574,20,37,23,9,1,8,699,18,3,10,31,Risipark AH
15982,6114,4794,10917,5912,8351,269,7874,434,412,545,51,71,419,33,302,166,353,1245,Riverlea
726,41,414,28,704,655,282,500,34,30,47,2,1,6,400,12,31,50,75,Riviera
5004,756,1162,433,4750,3477,3407,3250,69,166,118,2,15,30,1547,32,50,46,213,Robertsham
973,291,614,239,864,898,118,810,20,42,36,1,2,4,640,7,10,46,148,Roseacre
14913,1139,13365,1208,4238,8582,338,8737,432,611,261,172,72,147,2117,397,897,1765,3151,Rosettenville
656,93,599,33,106,308,22,450,77,63,35,13,0,57,104,65,18,106,99,Rosherville
1366,117,1187,118,245,911,59,628,104,93,135,38,3,36,141,25,23,71,235,Rossmore
815,18,756,32,647,736,25,630,82,25,65,6,1,22,541,12,77,62,252,Rouxville
712,149,601,59,1433,1432,50,1125,56,33,40,10,6,1,1810,1,31,32,93,Sandringham
855,78,733,58,940,831,62,701,118,24,59,14,4,20,671,13,34,51,145,Savoy Estate
3,0,0,0,4,1,1,3,0,0,0,0,0,0,1,0,0,0,0,Sebenza
3285,35,3218,50,223,1098,15,2225,80,113,58,47,7,13,30,102,174,267,811,Selby
170,26,130,16,483,305,22,264,2,9,4,0,0,0,394,3,5,5,23,Silvamonte
7783,398,7420,342,230,3529,19,4280,270,1723,915,94,28,185,6,1312,116,797,1526,Slovo Park
407,87,207,59,354,320,139,327,21,26,23,1,0,1,180,17,8,18,43,Southdale
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Southgate
5758,2699,4446,1051,2145,4358,259,4357,164,422,239,65,30,60,2913,197,192,620,1162,South Hills
547,56,318,80,627,530,147,476,13,40,17,1,5,2,435,14,15,11,77,South Kensington
28,0,26,0,5,4,0,27,1,1,0,2,0,0,5,2,0,1,19,Springfield
5,1,3,0,0,2,0,2,0,2,1,0,0,0,1,0,0,0,0,Steeledale
2214,484,1183,418,2025,1918,611,1638,67,183,131,13,14,28,1253,48,28,91,357,Suideroord
198,38,166,11,795,524,19,488,27,10,40,0,0,0,813,3,13,14,45,Sunningdale Ridge
1083,148,987,44,2322,1774,50,1594,178,41,89,9,7,13,2220,31,70,73,233,Sydenham
174,12,148,12,234,251,12,189,6,4,14,0,3,1,267,1,6,13,26,Talboton
356,59,266,27,826,712,61,550,16,12,21,10,0,5,837,15,5,9,47,The Gardens
1765,462,1216,354,2491,2086,193,2007,67,118,50,15,12,10,2281,42,44,158,262,The Hill
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Theta
316,227,244,35,1201,905,35,764,15,14,15,4,2,0,1334,5,7,53,22,Thornhill Estate
506,112,388,81,280,386,35,365,27,39,30,6,2,5,216,9,4,31,112,Towerby
717,162,567,138,533,544,10,552,24,28,13,20,7,0,380,11,27,61,115,Townsview
3103,2378,1441,1385,1704,2765,275,2606,113,119,249,28,26,25,2226,47,91,83,243,Triomf
3970,141,3703,172,562,2025,93,2129,209,222,135,68,7,69,131,162,188,293,1190,Troyeville
898,457,686,118,782,872,92,865,23,60,32,1,9,14,833,19,22,54,172,Tulisa Park
1544,257,1394,116,412,872,32,990,68,97,47,0,5,26,294,56,108,232,370,Turf Club
14324,1099,13094,903,2780,7719,325,8169,397,1005,471,246,51,208,1390,464,1165,2386,3505,Turffontein
369,4,348,17,0,212,2,174,3,0,0,0,0,0,16,0,0,0,0,Uitsaaisentrum
938,427,759,143,188,648,34,671,31,86,46,4,2,61,381,34,18,74,248,Unigray
1125,35,952,45,376,651,126,637,321,58,96,2,5,71,165,79,36,60,118,Victoria
21,1,19,0,68,57,0,40,4,2,3,1,0,1,78,0,0,0,7,Viewcrest
54,4,51,1,5,23,0,30,8,14,2,0,0,0,1,5,0,2,12,Village Main Reef Gold Mine
2369,441,1909,235,502,1357,223,1385,116,123,342,40,11,55,346,77,49,146,349,Vrededorp
816,135,754,18,1794,1368,42,1051,79,23,90,3,2,23,1584,9,30,45,132,Waverley
13260,7583,1339,11804,4883,6896,115,6565,48,116,175,1,21,20,23,31,120,53,168,Westbury
4592,1706,3626,527,3170,4026,437,3790,301,263,524,80,21,62,3032,103,148,266,567,Westdene
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Westfield
7167,2571,4228,2614,2281,4274,323,4424,237,318,250,66,17,89,1447,187,301,529,1066,West Turffontein
7490,698,4361,862,5004,4789,2265,4418,258,534,483,41,47,150,1470,157,107,321,938,Winchester Hills
405,79,299,33,690,563,71,467,24,14,36,6,1,1,594,9,18,31,76,Winston Ridge
1646,27,1643,1,28,738,0,911,13,8,45,24,3,11,2,12,28,29,1408,Wolhuter
18511,139,18218,200,3915,9110,91,9774,708,459,504,170,70,165,298,297,2788,837,5373,Yeoville
6915,121,6797,110,77,3402,6,3657,1851,370,185,123,7,279,3,761,669,561,1597,Kaalfontein Ext 1
756,7,749,5,14,399,0,396,212,80,51,15,2,43,0,71,51,27,177,Kaalfontein Ext 10
816,21,798,15,25,389,1,425,187,82,125,1,10,39,0,50,40,46,129,Kaalfontein Ext 11
789,12,772,15,47,423,0,412,164,67,102,13,0,33,1,59,45,57,186,Kaalfontein Ext 12
699,9,691,6,18,383,0,317,194,56,112,6,0,13,1,53,24,29,162,Kaalfontein Ext 13 & 14
390,8,382,2,26,199,4,189,99,17,40,9,3,29,0,19,10,21,99,Kaalfontein Ext 15
764,1,762,0,43,391,0,376,194,55,105,15,3,42,0,51,42,29,164,Kaalfontein Ext 16
918,7,911,5,10,452,0,465,285,72,97,9,2,29,0,38,43,43,239,Kaalfontein Ext 17
762,11,748,6,60,394,6,371,179,74,45,13,1,34,1,40,18,53,201,Kaalfontein Ext 18
4507,65,4444,53,63,2185,8,2449,1473,221,167,61,6,113,0,465,354,376,996,Kaalfontein Ext 2
5308,22,5291,15,40,2481,0,2843,2157,221,84,137,6,141,5,1081,105,519,735,Kaalfontein Ext 22
2016,11,2002,8,19,917,4,1103,695,132,48,55,7,31,1,307,52,207,390,Kaalfontein Ext 23
7292,68,7243,41,130,3481,6,3886,2143,420,236,135,9,289,6,820,487,539,1588,Kaalfontein Ext 4
6566,21,6540,14,112,3291,10,3484,1918,440,294,120,13,207,1,490,380,672,1487,Kaalfontein Ext 5
6241,45,6191,42,93,2991,6,3271,2155,274,241,80,6,161,3,439,304,599,1513,"Kaalfontein Ext 6, 7 & 8"
725,1,720,3,9,353,0,371,193,85,96,6,1,44,1,61,31,27,135,Kaalfontein Ext 9
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kaalfontein SP
5132,37,5088,41,67,2496,1,2685,221,470,1752,46,153,305,6,460,90,570,918,Leratong Village
18455,133,18376,64,208,9118,13,9529,747,3814,488,212,136,332,6,1046,266,4297,6573,Kanana Park SP
2340,61,2276,56,62,1144,6,1215,61,425,67,25,13,34,13,130,22,412,905,Sweetwaters
7615,95,7571,40,92,4067,2,3602,75,4070,213,12,86,23,18,159,48,606,2050,Lakeside Ext 1
11720,114,11695,13,116,6138,10,5621,232,5544,330,48,151,101,17,270,87,1000,3662,Lakeside Ext 2
1860,6,1858,0,24,987,0,873,31,800,66,8,6,2,3,33,14,144,727,Lakeside Ext 3
2167,37,2145,6,42,1132,14,1082,45,969,67,0,17,11,43,71,6,172,765,Lakeside Ext 5
19,2,15,2,10,8,0,20,4,2,2,0,0,0,10,2,3,0,1,Lanseria SP
4746,70,4700,41,325,2132,3,2628,923,302,759,75,11,408,3,483,240,299,734,Lionpark
7768,570,6927,822,714,4010,17,3773,368,1524,707,78,34,167,7,366,89,577,2538,Lawley Ext 1
25208,758,24637,533,1103,12217,36,13136,1231,5325,1084,331,225,1166,91,4162,297,2369,7004,Lawley Ext 2
13365,181,13213,83,289,6745,67,6635,534,1831,793,142,111,464,0,1618,117,1462,5749,Lehae SP
5443,63,5409,15,173,2505,17,2988,369,909,620,56,34,381,42,540,46,1441,752,Anchorville
13715,574,904,198,11457,7346,12611,6617,34,146,195,21,42,18,19,44,88,48,54,Lenasia Ext 1
5337,185,1384,343,4051,2720,3608,2714,39,168,95,15,7,19,35,71,36,118,421,Lenasia Ext 10
5622,341,1302,185,4062,2884,4133,2791,62,148,158,15,35,31,16,152,61,148,342,Lenasia Ext 11
9407,788,4071,662,4927,4905,4672,4679,151,641,557,27,67,91,27,177,95,284,1313,Lenasia Ext 13
6564,375,759,242,5472,3368,5561,3288,5,55,147,22,8,4,10,25,41,46,129,Lenasia Ext 2
4866,153,257,67,4297,2571,4540,2381,3,27,29,0,3,2,4,2,30,16,7,Lenasia Ext 3
7007,346,500,145,6096,3653,6360,3416,15,73,120,2,81,7,15,9,32,18,30,Lenasia Ext 5
2176,170,222,78,1836,1150,1874,1069,7,23,68,0,2,1,5,0,18,9,41,Lenasia Ext 6
1689,65,123,27,1521,901,1537,807,5,24,28,0,0,0,0,0,11,2,3,Lenasia Ext 7
1985,105,89,51,1791,1023,1843,975,0,8,19,3,4,6,5,2,14,7,7,Lenasia Ext 8
3812,236,288,158,3257,1965,3364,1892,14,36,41,4,19,5,13,1,37,12,18,Lenasia Ext 9
21073,217,20919,118,551,9967,34,11141,797,3501,5280,208,100,397,1,1676,287,2279,4756,Thembalihle
6935,68,6898,13,361,3313,22,3631,196,1353,1084,99,34,238,1,583,77,1374,1237,Hospital Hill
6434,291,877,144,5449,3371,5411,3145,38,170,83,0,8,24,10,40,30,73,235,Lenasia South Ext 1
2633,76,426,50,2110,1381,2155,1268,10,33,62,10,52,6,4,23,18,41,101,Lenasia South Ext 2
13037,694,6352,884,6671,6688,5799,6503,304,1138,567,31,49,220,23,292,100,463,2384,Lenasia South Ext 4
1920,37,1807,64,148,982,47,949,83,317,239,24,16,80,0,74,8,201,652,Lenasia South Ext 7
5442,157,648,146,4723,2817,4646,2717,42,108,91,1,6,10,16,21,49,35,105,Lenasia South SP
341,54,152,82,140,160,105,185,9,44,7,0,0,0,1,10,5,21,43,Unaville AH
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lucky 7 SP
2271,23,2251,13,61,1106,5,1215,556,148,312,21,10,279,0,166,224,105,284,Malatjie SP
21743,65,21678,27,430,10116,36,12063,5346,1069,664,322,76,706,8,2206,2009,3493,4204,Mayibuye SP
406,39,359,28,249,236,17,276,10,32,19,6,4,8,96,20,10,39,69,Austin View AH
788,184,404,52,1074,780,330,779,16,24,27,6,0,12,726,11,26,40,89,Barbeque AH
7,1,5,0,22,13,0,14,0,0,1,0,0,0,22,0,0,0,3,Barbeque Downs
3139,514,2452,71,2415,2495,614,2411,219,228,289,33,9,91,1740,87,139,183,461,Blue Hills AH
27,0,25,0,0,8,0,17,2,0,1,0,0,3,0,5,0,3,10,Bothasfontein
161,15,155,0,120,116,4,159,17,5,5,7,0,11,116,7,15,2,37,Bridle Park AH
492,108,377,9,614,553,104,510,26,20,36,1,0,7,549,17,28,30,107,Carlswald AH
4890,281,3487,204,2196,2917,1197,2635,283,346,378,70,6,161,605,117,78,481,640,Carlswald North
4,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,Commercia
3180,127,2578,100,1116,1741,500,1572,357,231,398,16,4,152,109,106,38,206,485,Country View
1340,113,968,78,608,851,292,738,128,60,136,29,0,48,233,55,38,122,195,Crescent Wood Country Estate
392,66,376,2,214,285,12,368,43,23,12,5,0,9,261,34,58,13,69,Crowthorne AH
4490,115,3631,132,1343,2477,725,2251,353,318,465,97,14,159,195,175,89,559,677,Erand AH
1381,151,1204,85,391,944,90,855,77,53,35,19,1,13,403,39,21,28,111,Glen Austin AH SP1
1379,447,1211,78,1373,1340,88,1508,88,101,75,30,12,18,1448,57,68,88,183,Glen Austin AH SP2
508,79,480,10,609,530,16,606,14,25,29,9,9,6,622,33,82,12,164,Glenferness AH
1375,24,1296,32,450,732,45,670,119,87,111,31,7,45,9,56,13,100,215,Grand Central
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grand Central Airport
8479,643,4925,437,6361,5542,3115,4958,291,506,357,63,11,160,1920,173,106,484,891,Halfway Gardens
481,9,417,36,105,265,26,276,35,23,32,13,3,6,55,21,10,26,51,Halfway House
165,21,161,2,106,121,0,135,20,5,10,2,0,2,93,6,4,12,66,Knopjeslaagte AH
1359,262,1306,19,1880,1553,32,1746,111,77,65,11,5,44,1901,41,115,52,350,Kyalami AH
1527,259,1112,65,2943,2274,348,1922,82,138,133,20,1,30,2572,59,33,117,180,Kyalami Estate
679,80,395,22,566,483,260,444,24,29,44,5,1,15,249,14,8,21,80,Kyalami Gardens
2712,290,1724,112,2012,1813,874,1628,111,108,193,54,3,64,710,40,44,149,279,Kyalami Hills
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kyalami Park
373,13,256,14,192,195,101,189,26,13,17,2,0,11,8,8,19,26,47,Midridge Park
10048,547,7221,502,5200,6052,2323,5462,721,733,780,109,28,267,1404,291,143,771,1372,Noordwyk
135,35,58,10,246,179,65,148,6,6,1,0,4,2,193,1,2,9,11,Plooysville AH
2429,318,2079,154,1234,1615,194,1828,189,168,123,21,0,49,966,84,96,184,456,President Park AH
730,268,680,18,689,647,30,875,38,61,50,12,2,6,795,69,41,143,82,Randjesfontein AH
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Randjespark
146,28,129,15,267,194,0,185,3,9,6,2,0,3,231,5,2,9,23,Saddlebrook Estate
804,33,688,14,304,485,100,372,91,76,130,7,0,38,34,21,3,56,97,Savannah Hills
92,44,74,4,429,284,12,243,0,4,6,0,1,4,429,0,3,6,8,Tinswalo Country and Equestrian Estate
43,17,41,0,40,48,0,50,6,1,4,0,0,0,57,3,6,2,15,Treesbank AH
10288,672,6648,526,6798,6386,3112,6060,484,441,618,88,23,239,2026,202,205,612,1152,Vorna Valley
622,15,474,28,178,244,118,434,44,26,11,6,1,11,43,17,5,28,21,Waterval City
310,62,204,16,484,357,88,301,14,14,15,0,0,3,348,3,6,15,31,Willaway AH
96,14,92,2,66,69,0,103,20,0,2,4,1,21,77,2,6,4,19,Millgate Farm AH
22268,131,22196,55,205,11441,15,10885,376,7341,591,97,281,220,10,616,275,2492,9306,Orange Farm Ext 1
14483,70,14436,36,169,7421,9,7094,216,2327,581,104,103,183,7,505,221,1242,8519,Orange Farm Ext 2
3893,22,3873,14,31,1915,4,1992,93,1142,126,37,26,36,6,266,80,441,1405,Orange Farm Ext 3
259,2,257,0,7,125,0,134,7,131,4,2,5,5,1,6,12,31,48,Orange Farm Ext 4
6920,52,6891,24,75,3516,3,3457,149,2311,234,59,62,178,5,276,160,578,2728,Orange Farm Ext 6
17240,136,17169,42,211,8676,27,8591,301,5558,494,87,144,148,14,840,324,1480,7177,Orange Farm Ext 7
8206,54,8156,47,63,4160,1,4065,188,2595,266,28,84,175,6,385,78,671,3573,Orange Farm Ext 8
3289,22,3279,8,97,1670,0,1625,110,862,87,11,38,97,4,228,51,339,1326,Orange Farm Ext 9
11121,84,11052,54,180,5701,13,5453,200,4232,645,132,139,39,10,1011,56,2090,2213,Poortjie SP
13,0,11,0,0,3,0,8,0,0,0,0,0,0,0,2,0,0,0,Rabie Ridge Ext 1
6350,731,5634,698,242,3244,16,3137,1872,494,478,76,30,210,3,254,229,413,1229,Rabie Ridge Ext 2
27974,189,27844,96,368,12511,32,15602,10461,1373,1055,493,108,1194,18,3559,1288,2887,4521,Rabie Ridge Ext 4
6620,2755,3738,2838,472,3460,42,3239,870,339,359,74,22,118,26,198,236,162,910,Rabie Ridge SP
404,279,305,31,245,476,66,466,26,25,39,0,0,5,383,13,24,6,56,Albertskroon
3123,1073,2306,577,1193,2439,238,2211,175,101,133,8,6,56,1507,87,58,114,263,Albertville
114,119,96,13,280,320,3,171,18,7,8,2,0,1,379,4,10,9,6,Aldara Park
784,216,461,78,998,797,243,718,22,33,25,2,0,6,722,10,26,35,65,Bellairs Park
578,400,405,97,1574,1210,74,1038,22,36,32,7,1,9,1643,21,14,44,59,Berario
852,1106,366,258,1221,1415,226,1238,13,35,79,0,1,3,1754,15,22,29,57,Bergbron
238,69,200,13,437,339,23,306,23,12,21,0,0,0,408,0,9,17,40,Beverley Gardens
1361,378,1017,98,1097,1307,244,1100,66,71,125,24,6,25,1000,34,31,95,194,Blackheath
4425,1129,2956,373,8421,6329,1094,5720,219,154,342,25,16,106,7422,71,200,176,511,Blairgowrie
9819,323,9349,193,1722,4573,275,6306,1159,489,482,188,87,643,997,1218,759,406,1655,Bloubosrand
1819,220,1338,144,2475,2067,335,1723,124,84,103,28,7,59,1911,40,62,70,249,Bordeaux
1267,1046,780,122,3351,2708,363,2324,45,78,79,13,2,10,3672,18,47,59,112,Boskruin
5975,1141,1163,4462,3966,3300,348,3001,22,59,125,10,54,20,44,21,47,51,124,Bosmont
2610,1066,1580,217,4137,3424,811,2877,108,113,140,19,2,61,3639,33,71,140,195,Bromhof
27,22,24,1,100,73,0,68,2,0,1,0,0,0,115,0,2,2,8,Bryanbrink
380,145,246,29,1404,929,103,841,13,27,13,1,1,12,1349,0,8,19,38,Cedar Lakes
6556,4349,3592,2914,1569,4614,48,4569,207,349,1262,27,42,334,2598,115,123,255,470,Claremont
10488,542,9933,550,229,5220,3,5282,954,1042,1022,112,36,503,5,633,126,2185,3046,Consolidated Main Reef Gold Mine
907,201,790,48,1865,1443,67,1196,80,49,58,1,0,19,1681,16,57,64,147,Craighall
1884,380,1514,95,3944,3066,273,2558,117,91,143,8,7,52,3599,24,95,91,250,Craighall Park
625,423,430,52,919,847,141,773,22,24,36,4,12,9,986,8,28,16,72,Cresta
18,25,15,0,62,53,1,48,0,1,2,0,0,0,85,0,5,0,5,Daniel Brink Park
309,214,206,37,442,437,64,364,22,15,22,1,0,7,487,2,16,7,34,Darrenwood
1291,753,912,311,482,1048,66,1074,45,65,253,29,1,30,829,28,62,119,154,Delarey
492,164,422,26,944,795,42,678,41,38,39,0,0,6,948,15,24,21,79,Dunkeld
113,103,52,29,175,159,30,165,0,0,8,0,11,0,207,6,0,1,5,East Town
2869,514,1334,130,3374,2719,1403,2397,90,127,172,12,0,36,2095,52,93,113,274,Emmarentia
2899,2518,2012,311,5030,5013,574,4114,126,170,238,25,11,58,6112,61,70,141,300,Fairland
13668,2194,10020,790,9079,10024,2856,9349,599,622,973,149,29,254,5461,212,495,625,1589,Ferndale
1749,163,370,1293,1347,942,84,814,2,56,61,0,3,6,6,7,18,18,60,Fleurhof
1115,822,917,58,1275,1414,138,1412,79,62,84,14,0,25,1692,12,93,40,164,Fontainebleau
1381,616,719,163,2270,1893,497,1574,48,48,110,8,6,15,2031,14,39,59,127,Franklin Roosevelt Park
2048,622,1074,136,3367,2603,836,2286,102,103,110,8,18,28,2671,33,74,83,187,Greenside
146,95,90,9,352,312,45,207,3,13,18,0,0,5,365,1,2,1,12,Greenside East
772,777,561,136,933,1132,73,1048,55,46,103,10,1,7,1391,14,26,38,93,Greymont
428,50,317,22,281,271,87,249,22,19,18,5,1,13,89,0,15,18,36,Hoogland
319,19,317,0,11,138,0,206,82,24,27,0,0,29,27,35,33,20,41,Hunters Hill A. H. SP
92,20,89,1,50,57,0,96,9,19,5,1,0,6,62,5,8,1,15,Inadan AH
11,0,9,0,2,4,0,6,0,0,3,1,0,2,1,0,0,1,1,Industria North
64,97,46,0,106,130,16,114,7,0,12,0,0,0,183,0,6,3,8,Jacanlee
796,320,626,50,1500,1256,118,1098,38,87,66,6,7,29,1529,30,20,39,99,Johannesburg North
1277,562,976,99,4105,2920,200,2533,70,84,93,7,4,37,4095,11,70,75,200,Jukskei Park
206,280,152,11,596,596,41,463,8,18,14,0,0,2,836,7,7,6,12,Kelland
1003,193,773,64,1070,980,164,911,80,49,92,6,6,14,861,13,43,54,137,Kensington B
3262,31,3250,4,77,1079,6,2226,751,212,172,41,27,348,46,397,224,299,460,Kya Sand SP
22,2,19,1,0,2,0,18,0,4,0,1,0,2,0,5,0,1,2,Lea Glen
2775,2582,1880,213,4243,4514,680,4114,157,176,306,25,26,39,5752,40,128,147,314,Linden
1452,812,945,84,2000,1844,421,1711,101,84,63,9,11,11,2066,128,26,70,90,Malanshof
2470,689,1217,1061,1320,1531,190,1521,29,121,228,9,13,13,500,20,98,148,226,Maraisburg
1587,450,1090,104,2989,2288,391,1982,56,73,94,23,19,14,2600,29,37,133,144,Maroeladal
601,400,380,213,192,464,6,499,31,28,163,0,2,10,358,15,18,21,53,Montclare
896,383,421,116,1328,1097,357,958,17,28,47,3,7,12,1098,9,23,39,73,Montgomery Park
159,33,69,14,191,144,74,127,1,1,2,0,0,0,114,0,12,3,15,Montroux
174,335,152,9,211,362,11,327,8,21,22,4,0,4,501,3,26,5,27,Moret
76,1,65,0,36,41,9,64,5,4,0,0,0,6,31,13,3,5,17,Needwood
6263,2271,1098,4986,3467,3395,177,3124,41,75,213,13,22,14,9,45,40,62,121,Newclare
8260,4150,4447,3629,3143,5558,182,5737,270,472,1138,50,26,125,2794,83,281,231,843,Newlands
3311,815,2263,219,4039,3462,827,2967,111,167,213,40,9,76,2984,48,75,229,311,Noordhang
5169,3697,3349,719,8015,7814,1099,6849,245,343,428,60,21,95,9316,114,168,262,597,Northcliff
3039,270,2437,115,2026,2029,485,1816,71,176,221,24,10,45,782,74,63,295,343,Northgate
3147,1217,2042,220,4989,4012,883,3509,56,186,196,22,7,43,4306,34,50,200,275,North Riding
2517,908,1752,152,4066,3403,611,2771,112,120,154,15,6,61,3596,47,44,141,237,Northworld
118,71,78,22,321,212,16,219,10,2,9,0,1,3,316,0,4,0,9,Northworld AH
1170,542,770,83,2674,1968,315,1809,34,42,120,9,0,12,2566,15,43,51,120,Olivedale
1191,488,991,79,3433,2583,119,2268,87,101,97,14,1,7,3578,37,76,101,193,Parkhurst
1151,357,1005,48,2677,2044,96,1813,99,66,110,14,7,24,2647,18,54,69,204,Parktown North
1247,428,945,76,2652,2100,224,1769,100,73,124,9,7,23,2474,22,62,76,178,Parkview
949,216,745,61,1713,1395,141,1166,85,44,77,7,7,10,1582,25,69,36,169,Parkwood
379,78,313,8,393,376,56,327,26,22,39,2,0,8,320,2,18,9,40,Pierneef Park
319,41,289,16,265,275,12,266,15,4,24,2,2,7,225,4,31,19,91,Pine Park
750,507,562,34,686,911,152,791,45,23,67,7,0,13,925,14,20,27,61,President Ridge
782,632,410,226,1001,1051,144,925,30,46,53,1,2,10,1131,14,20,33,80,Quellerina
1835,100,1751,70,111,657,12,1282,104,245,123,41,2,238,107,197,75,169,355,Rand Lease Gold Mine
360,290,212,67,903,725,79,607,7,23,15,1,1,2,974,8,3,8,41,Randpark
6230,2624,4287,575,12159,9507,1366,8526,259,315,412,46,37,148,11559,175,290,324,779,Randpark Ridge
229,170,153,19,322,338,55,290,17,16,13,1,4,2,392,5,9,15,27,Risidale
